PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
71,0.0004284105380065739,0.0004284105380065739,33,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
72,0.0004371298709884286,0.0004371298709884286,30,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
73,0.00044349333620630205,0.00044349333620630205,32,[0.025567716438653215, [4, 8, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
74,0.00044253270607441664,0.00044253270607441664,35,[0.025567716438653215, [4, 8, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
75,0.0004341629392001778,0.0004341629392001778,32,[0.025567716438653215, [4, 8, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
76,0.00043193972669541836,0.00043193972669541836,30,[0.025567716438653215, [4, 8, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
77,0.0004357666475698352,0.0004357666475698352,34,[0.025567716438653215, [6, 3, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
78,0.0004346387868281454,0.0004346387868281454,114,[0.025567716438653215, [2, 3, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
79,0.00043257485958747566,0.00043257485958747566,106,[0.025567716438653215, [2, 3, 4], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
80,0.0004336503043305129,0.0004336503043305129,95,[0.015914524725191306, [6, 3, 4], 2, [0.16591215024213807, 0.0038200147643543403, 0.18517759982992743], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
81,0.00043614741298370063,0.00043614741298370063,71,[0.015914524725191306, [6, 3, 4], 2, [0.16591215024213807, 0.0038200147643543403, 0.18517759982992743], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
82,0.00044087617425248027,0.00044087617425248027,122,[0.025567716438653215, [6, 3, 4], 2, [0.11501816947974486, 0.3598104956879961, 0.46308565772303195], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
83,0.0004350811941549182,0.0004350811941549182,100,[0.015914524725191306, [7, 8, 8], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
84,0.0004311072116252035,0.0004311072116252035,122,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
85,0.0004075691686011851,0.0004075691686011851,221,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
86,0.0004282143490854651,0.0004282143490854651,95,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
87,0.0004384240892250091,0.0004384240892250091,10,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
88,0.00042737918556667864,0.00042737918556667864,182,[0.015914524725191306, [6, 4, 7], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
89,0.00043104126234538853,0.00043104126234538853,202,[0.015914524725191306, [8, 7, 6], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['relu', 'softplus', 'leaky_relu'], 0.9896287513693961]
